,start_times,end_times,on_status,stim_stopped_attack
0,20251029_15:14:00,20251029_15:14:10,False,y
1,20251029_15:14:45,20251029_15:14:55,False,n
2,20251029_15:15:09,20251029_15:15:19,False,y
3,20251029_15:15:23,20251029_15:15:33,False,y
4,20251029_15:16:53,20251029_15:17:03,True,y
5,20251029_15:19:53,20251029_15:20:03,False,y
6,20251029_15:20:12,20251029_15:20:22,True,y
7,20251029_15:22:23,20251029_15:22:33,False,y
8,20251029_15:22:57,20251029_15:23:07,False,y
9,20251029_15:25:38,20251029_15:25:48,True,y
